,Цена,Латитуда,Лонгитуда,Бројнасоби,Квадратура,Бројнаспратови,Греење,Дворнаповршина,Типнадомот,Состојба,Опрема,Бројнабалкони,Бројнабањи,Подрум,Бројнапаркинг/гаража,Ориентација,Годинанаградба,Адреса,Годинанареновирање
1125,95000€,41.031728,21.329358,5,120m²,2спрата,Централно,120m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Балкон,2,Не,Нема,Југоисток,,НАДЦРНМОСТ,
1126,450000€,41.978187,21.427388,10,300m²,3спрата,Струја,130m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,4Балкони,3,Да,3Паркингместа,Исток,1972,xristocernopeevbr20,2005
1127,38000€,41.14712,22.507161,25,73m²,Високоприземје,Дрва,1m²,Еднасемејнакуќа-Самостојна,Реновирана,Наместен,1Балкон,1,Не,1Паркинг,Исток,1993,StarDojran,2009
1128,2€,41.7127406922145,21.7719952324446,4,80m²,2спрата,Струја,22m²,Еднасемејнакуќа-Самостојна,Стара,Празен,1Тераса,1,Да,1Паркинг,Исток,1960,VeraCiriviri35,2000
1129,По договор,41.111733,20.798579,7,284m²,2спрата,Друго,600m²,Еднасемејнакуќа-Самостојна,Нова,Празен,2Балкони,3,Не,3Паркингместа,Југозапад,,ohrid,
1130,1€,41.9870695865131,21.4519291484375,3,500m²,Приземје,Дрва,500m²,Половинакуќа,Стара,Наместен,Нема,1,Не,Гаража+Повеќеод4паркингместа,Североисток,2000,Vizbegovo,2000
1131,По договор,41.031728,21.329358,45,167m²,2спрата,Нема,167m²,Еднасемејнакуќа-Самостојна,Стара,Полунаместен,1Балкон,1,Да,Гаража+1Паркинг,Југ,1940,Edvarkardel,1940
1132,1€,41.5126914585561,20.9522469311523,10,150m²,2спрата,Дрва,715m²,Двo-семејнакуќа,Реновирана,Полунаместен,2Балкони,3,Да,2Паркингместа,Исток,,,2010
1133,1€,41.9870695865131,21.4519291484375,4,120m²,Приземје,Струја,150m²,Двo-семејнакуќа,Реновирана,Наместен,2Балкони,2,Да,3Паркингместа,Североисток,1970,SirmaVojvoda,
1134,38000€,41.7442951984212,22.2009933537669,11,95m²,Приземје,Струја,50m²,Дуплекс-Лепенакуќа,Нова,Наместен,Нема,1,Да,Нема,Север,2003,Sirokdol,2003
