,Цена,Латитуда,Лонгитуда,Бројнасоби,Квадратура,Греење,Спрат,Типнастанот,Состојба,Опрема,Лифт,Годинанаградба,Бројнабалкони,Бројнабањи,Подрум,Бројнапаркинг/гаража,Ориентација,Адреса,Годинанареновирање
10238,1€,41.9870695865131,21.4519291484375,35,57m²,Друго,4кат,ВоЗграда,Нов,Наместен,Да,2016,Нема,1,Не,1Паркинг,Југозапад,HristoBotevbr2,
10239,1030€,41.949632,21.502494,4,85m²,Централно,1кат,ВоЗграда,Нов,Празен,Да,,2Балкони,Повеќеод2,Не,1Гаража,Исток,,
10240,По договор,41.9870695865131,21.4519291484375,2,51m²,Централно,3кат,ВоЗграда,Нов,Празен,Да,,1Тераса,1,Не,1Паркинг,Југ,,
10241,450€,41.031728,21.329358,2,40m²,Друго,Сутеренстан,ВоЗграда,Стар,Празен,Не,,1Балкон,1,Да,Нема,Југоисток,,
10242,72000€,41.991502,21.39781,3,73m²,Струја,7кат,ВоЗграда,Нов,Полунаместен,Да,,1Балкон,1,Не,Нема,Југозапад,Tavtalidze,
10243,93220€,41.9811999375958,21.43317514305,4,118m²,Струја,2кат,Вокуќа,Нов,Полунаместен,Не,2009,1Балкон,2,Да,Гаража+1Паркинг,Северозапад,Баница11/7,2015
10244,52000€,41.111733,20.798579,3,73m²,Друго,3кат,ВоЗграда,Реновиран,Празен,Не,,1Балкон,1,Да,1Паркинг,Југозапад,,
10245,26000€,41.111733,20.798579,2,30m²,Друго,Приземје,Вокуќа,Реновиран,Полунаместен,Не,,1Балкон,1,Не,1Паркинг,Исток,,
10246,1€,41.9870695865131,21.4519291484375,2,45m²,Струја,1кат,Вокуќа,Реновиран,Наместен,Не,1970,Нема,1,Не,1Паркинг,Северозапад,UlOgnjanPrica37,2016
10247,1€,42.132926,21.715878,3,52m²,Струја,4кат,ВоЗграда,Реновиран,Празен,Не,,1Балкон,1,Да,1Паркинг,Југ,,2017
10248,160€,41.9870695865131,21.4519291484375,1,30m²,Струја,4кат,ВоЗграда,Нов,Наместен,Не,,1Балкон,1,Не,1Паркинг,Југоисток,"Ul""DositejObradovik""br3/9",
10249,8000МКД,41.9870695865131,21.4519291484375,2,45m²,Струја,Сутеренстан,Вокуќа,Реновиран,Наместен,Не,,Нема,1,Не,1Паркинг,Северозапад,UlOgnjanPrica37,2016
10250,45000€,41.931839,21.502835,2,55m²,Централно,Поткровје,ВоЗграда,Стар,Наместен,Не,1999,Нема,1,Да,Нема,Исток,МишкоМихајловски,
10251,250€,41.9870695865131,21.4519291484375,2,60m²,Струја,2кат,ВоЗграда,Нов,Наместен,Не,,1Балкон,1,Не,1Паркинг,Североисток,Taftalidze1,
10252,850€,41.9870695865131,21.4519291484375,3,59m²,Централно,2кат,ВоЗграда,Нов,Празен,Не,,1Балкон,1,Не,1Паркинг,Југ,,
10253,850€,41.9870695865131,21.4519291484375,3,66m²,Централно,1кат,ВоЗграда,Воградба,Празен,Не,,1Балкон,1,Не,1Паркинг,Југ,,
10254,1€,41.9870695865131,21.4519291484375,2,34m²,Централно,2кат,ВоЗграда,Нов,Празен,Да,1995,1Балкон,1,Да,1Паркинг,Југ,,
10255,45000€,42.132926,21.715878,3,87m²,Нема,13кат,ВоЗграда,Стар,Празен,Да,,1Балкон,2,Да,1Паркинг,Исток,MosaPijade14/50,
