,Цена,Латитуда,Лонгитуда,Марка,Модел,Година,Гориво,Менувач,Каросерија,Боја,Регистрација,Регистриранадо,Силанамоторот,Kласанаемисија,Километри
140,15000МКД,41.991502,21.39781,Renault,R18,1987,Бензин/Плин,Рачен,Maлиградски,Бела,Македонска,012018,50kw/68ks,Еуро2,120000
141,123€,41.9672443915709,21.5501117706299,Mercedes-Benz,C220,2006,Дизел,Рачен,Седани,Црна,Македонска,012020,110kw/150ks,Еуро4,200000
142,14000€,41.993825,21.436139,Mercedes-Benz,ML320,2006,Дизел,Автоматски,Теренци-SUV,Сива,Македонска,032020,164kw/223ks,Еуро4,250000
143,1€,41.9870695865131,21.4519291484375,BMW,116,2015,Дизел,Автоматски,Хеџбек,Златна,Македонска,072021,85kw/116ks,Еуро5,75000
144,1000€,41.346182,21.553379,Renault,Megane,2002,Дизел,Рачен,Седани,Зелена,Македонска,122020,59kw/80ks,Останато,250000
145,4600€,42.132926,21.715878,Seat,Leon,2006,Дизел,Рачен,Хеџбек,Црна,Македонска,082021,77kw/105ks,Еуро4,170000
146,1€,41.346182,21.553379,Opel,Astra,2007,Дизел,Рачен,Хеџбек,Црна,Македонска,122021,75kw/102ks,Еуро4,200000
147,5000€,41.635743,22.470056,VWVolkswagen,Golf,2006,Дизел,Рачен,Хеџбек,Црна,Македонска,062021,125kw/170ks,Еуро4,200000
148,3500€,41.715954,21.770997,BMW,320,2002,Дизел,Автоматски,Седани,Црна,Македонска,092021,110kw/150ks,Еуро4,300000
149,2300€,41.9870695865131,21.4519291484375,VWVolkswagen,Golf,2001,Бензин/Плин,Рачен,Останато,Сива,Македонска,062021,75kw/102ks,Останато,200000
150,2€,41.949632,21.502494,Mini,ONE,2008,Бензин,Рачен,Maлиградски,Црвена,Македонска,122021,70kw/95ks,Еуро4,180000
151,3100€,41.924335,22.404964,Opel,Astra,2007,Бензин/Плин,Рачен,Седани,Сива,Странска,082021,68kw/92ks,Еуро5,190000
152,2250€,42.009423,20.971549,BMW,320,1999,Дизел,Рачен,Седани,Црна,Македонска,082021,100kw/136ks,Еуро3,250000
153,790€,41.989867,21.581912,Fiat,Marea,1998,Дизел,Рачен,Каравани,Сина,Македонска,042021,0kw/0ks,Еуро3,200000
154,1250€,41.989867,21.581912,Fiat,Punto,2000,Бензин/Плин,Рачен,Maлиградски,Сива,Македонска,082021,0kw/0ks,Еуро3,180000
