,Цена,Латитуда,Лонгитуда,Бројнасоби,Квадратура,Греење,Спрат,Типнастанот,Состојба,Опрема,Лифт,Бројнабалкони,Бројнабањи,Подрум,Бројнапаркинг/гаража,Ориентација
2762,65000,41.9870695865131,21.4519291484375,3.0,65,Централно,4кат,ВоЗграда,Стар,Празен,Не,1Тераса,1,Да,1Паркинг,Запад
2763,109000,41.9870695865131,21.4519291484375,3.0,89,Струја,5кат,ВоЗграда,Нов,Празен,Да,1Балкон,2,Не,1Гаража,Југозапад
2764,90000,41.9870695865131,21.4519291484375,3.0,75,Централно,5кат,ВоЗграда,Реновиран,Празен,Да,1Балкон,1,Не,1Паркинг,Југ
2765,50000,41.991502,21.39781,2.0,49,Струја,5кат,ВоЗграда,Реновиран,Празен,Не,1Балкон,1,Не,1Паркинг,Исток
2766,58000,41.9870695865131,21.4519291484375,4.0,90,Струја,2кат,ВоЗграда,Стар,Наместен,Не,2Балкони,2,Да,Нема,Север
2767,52000,42.3369000812689,23.5570979195901,3.0,102,Нема,3кат,ВоЗграда,Нов,Празен,Не,3Балкони,1,Да,1Паркинг,Североисток
2768,24000,41.9870695865131,21.4519291484375,1.0,26,Струја,5кат,ВоЗграда,Стар,Празен,Не,Нема,1,Не,1Паркинг,Североисток
2769,60900,41.991502,21.39781,3.0,58,Струја,4кат,ВоЗграда,Нов,Празен,Да,1Балкон,1,Не,1Паркинг,Североисток
2770,95000,41.9870695865131,21.4519291484375,4.0,132,Друго,6кат,ВоЗграда,Нов,Празен,Да,3Балкони,2,Не,1Паркинг,Југоисток
2771,71000,41.978187,21.427388,3.0,83,Централно,4кат,ВоЗграда,Реновиран,Празен,Не,1Балкон,1,Не,Повеќеод3паркингместа,Југ
2772,130000,41.9870695865131,21.4519291484375,4.0,100,Централно,2кат,ВоЗграда,Нов,Наместен,Да,1Балкон,2,Не,1Паркинг,Запад
2773,84000,41.9955381534498,21.4259224498291,2.0,73,Централно,6кат,ВоЗграда,Стар,Наместен,Да,1Балкон,1,Не,1Паркинг,Југ
2774,75000,41.996115244862,21.4623069763184,3.0,78,Централно,3кат,ВоЗграда,Стар,Празен,Не,2Балкони,1,Да,Повеќеод3паркингместа,Југоисток
2775,64000,41.031728,21.329358,2.0,70,Друго,6кат,ВоЗграда,Нов,Празен,Да,1Балкон,2,Да,1Паркинг,Југ
2776,83000,41.9870695865131,21.4519291484375,3.0,70,Централно,Приземје,ВоЗграда,Реновиран,Наместен,Да,1Балкон,1,Да,2Паркингместа,Југозапад
2777,65000,42.007480177967,21.38738157135,4.0,72,Централно,3кат,ВоЗграда,Реновиран,Празен,Не,1Балкон,1,Да,3Паркингместа,Југ
2778,72000,41.991502,21.39781,3.0,86,Централно,4кат,ВоЗграда,Реновиран,Полунаместен,Не,2Балкони,1,Да,2Паркингместа,Југ
2779,85000,41.111733,20.798579,3.0,68,Струја,1кат,ВоЗграда,Нов,Наместен,Да,1Балкон,1,Не,1Паркинг,Североисток
2780,95000,41.9870695865131,21.4519291484375,5.0,132,Струја,6кат,ВоЗграда,Нов,Празен,Да,3Балкони,2,Не,2Паркингместа,Југоисток
2781,51900,41.9870695865131,21.4519291484375,2.0,45,Централно,1кат,ВоЗграда,Нов,Наместен,Да,1Балкон,1,Не,1Паркинг,Југоисток
2782,54300,41.991502,21.39781,3.0,54,Централно,1кат,ВоЗграда,Стар,Празен,Не,Нема,1,Да,1Паркинг,Север
2783,74100,41.9870695865131,21.4519291484375,3.0,78,Централно,1кат,ВоЗграда,Нов,Полунаместен,Да,2Балкони,2,Не,2Паркингместа,Југозапад
2784,50000,41.991502,21.39781,2.0,42,Друго,2кат,ВоЗграда,Нов,Празен,Не,1Балкон,1,Да,1Паркинг,Југоисток
2785,55000,42.003425,21.463615,3.0,61,Централно,1кат,ВоЗграда,Нов,Наместен,Не,Нема,1,Да,2Паркингместа,Југ
