,price,make,model,year,fuel,distance_in_km,transmission,type,color,registration,registered_till,HP,standard,KW
167,По договор,Renault,Megane,2006,Дизел,140000,Рачен,Хеџбек,Златна,Македонска,12022,106,Еуро4,78
171,По договор,Audi,A8,2011,Дизел,190000,Автоматски,Седани,Сива,Македонска,122022,0,Еуро6,0
193,По договор,VWVolkswagen,Passat,2006,Дизел,200000,Рачен,Каравани,Сива,Странска,12020,140,Еуро4,103
200,По договор,Renault,Megane,2008,Бензин/Плин,190000,Рачен,Хеџбек,Сина,Македонска,22022,111,Еуро4,82
203,По договор,VWVolkswagen,Passat,2006,Дизел,190000,Рачен,Седани,Сина,Македонска,62021,105,Еуро4,77
210,По договор,VWVolkswagen,Golf,2010,Дизел,190000,Рачен,Хеџбек,Бела,Македонска,12021,105,Еуро5,77
216,По договор,VWVolkswagen,Golf,2008,Дизел,190000,Рачен,Хеџбек,Црна,Македонска,112021,105,Еуро4,77
222,По договор,Volvo,V70,2003,Дизел,20000,Рачен,Каравани,Зелена,Македонска,82021,163,Еуро4,120
223,По договор,Fiat,Uno,1999,Дизел,85000,Рачен,Maлиградски,Црна,Македонска,122020,75,Еуро5,55
254,По договор,Fiat,Panda,2012,Бензин,85000,Рачен,Maлиградски,Бела,Македонска,92021,69,Еуро5,51
270,По договор,VWVolkswagen,Vento,1992,Дизел,200000,Рачен,Седани,Црвена,Македонска,42022,64,Останато,47
272,По договор,Peugeot,307,2004,Бензин,150000,Рачен,Купеа,Црна,Македонска,82022,136,Еуро2,100
276,По договор,Seat,Ibiza,2008,Дизел,200000,Рачен,Седани,Црна,Македонска,62021,68,Еуро4,50
279,По договор,Citroen,C1,2008,Бензин,160000,Рачен,Maлиградски,Црна,Македонска,62021,68,Еуро4,50
283,По договор,BMW,118,2009,Дизел,150000,Рачен,Купеа,Црна,Македонска,12021,143,Еуро5,105
308,По договор,Opel,Astra,2005,Бензин/Плин,200000,Рачен,Каравани,Црна,Македонска,32022,105,Еуро4,77
311,По договор,Peugeot,308,2008,Дизел,160000,Рачен,Седани,Црна,Македонска,12020,110,Еуро4,81
312,По договор,Audi,A6,2004,Дизел,200000,Автоматски,Седани,Црна,Македонска,122021,4,Еуро3,3
317,По договор,Audi,A4,2003,Дизел,200000,Рачен,Седани,Сина,Странска,102021,131,Еуро3,96
322,По договор,VWVolkswagen,Touran,2004,Дизел,200000,Рачен,Моноволумен,Сива,Македонска,72022,140,Еуро4,103
324,По договор,Audi,A6,2015,Дизел,130000,Рачен,Седани,Сива,Македонска,32022,192,Еуро6,141
329,По договор,Ford,Focus,2005,Бензин,170000,Рачен,Каравани,Сива,Македонска,52021,116,Еуро4,85
332,По договор,VWVolkswagen,Golf,2006,Дизел,160000,Автоматски,Седани,Зелена,Македонска,62021,347,Еуро6,255
338,По договор,Audi,А7,2015,Дизел,95000,Автоматски,Седани,Црна,Македонска,52021,272,Еуро6,200
353,По договор,Audi,A6,2006,Дизел,200000,Автоматски,Каравани,Сива,Македонска,72022,232,Еуро5,171
359,По договор,Suzuki,SX4,2007,Дизел,120000,Рачен,Теренци-SUV,Сина,Македонска,22021,90,Еуро4,66
374,По договор,VWVolkswagen,Touareg,2005,Дизел,100000,Автоматски,Теренци-SUV,Златна,Македонска,122021,174,Еуро5,128
